Array Size,Selection Sort,Insertion Sort,Binary Insertion Sort,Merge Sort
24100,0.575000,0.326000,0.213000,0.003000
24200,0.566000,0.319000,0.207000,0.003000
24300,0.566000,0.331000,0.215000,0.004000
24400,0.601000,0.307000,0.216000,0.004000
24500,0.590000,0.324000,0.248000,0.003000
24600,0.593000,0.313000,0.218000,0.003000
24700,0.575000,0.311000,0.217000,0.003000
24800,0.582000,0.316000,0.220000,0.003000
24900,0.591000,0.316000,0.224000,0.004000
25000,0.608000,0.326000,0.226000,0.003000
25100,0.599000,0.330000,0.227000,0.003000
25200,0.605000,0.327000,0.229000,0.004000
25300,0.650000,0.336000,0.229000,0.003000
25400,0.627000,0.326000,0.254000,0.004000
25500,0.649000,0.374000,0.271000,0.004000
25600,0.745000,0.357000,0.238000,0.003000
25700,0.627000,0.345000,0.270000,0.004000
25800,0.686000,0.364000,0.245000,0.004000
25900,0.680000,0.352000,0.293000,0.004000
26000,0.667000,0.369000,0.250000,0.003000
26100,0.663000,0.365000,0.245000,0.003000
26200,0.664000,0.371000,0.259000,0.004000
26300,0.673000,0.374000,0.251000,0.004000
26400,0.677000,0.360000,0.253000,0.004000
26500,0.662000,0.363000,0.255000,0.004000
26600,0.678000,0.384000,0.275000,0.003000
26700,0.682000,0.375000,0.273000,0.004000
26800,0.696000,0.377000,0.256000,0.003000
26900,0.707000,0.383000,0.269000,0.003000
27000,0.735000,0.419000,0.263000,0.004000
27100,0.710000,0.382000,0.269000,0.004000
27200,0.711000,0.400000,0.274000,0.004000
27300,0.715000,0.386000,0.270000,0.004000
27400,0.722000,0.424000,0.284000,0.004000
27500,0.729000,0.400000,0.291000,0.004000
27600,0.727000,0.393000,0.273000,0.004000
27700,0.731000,0.403000,0.271000,0.004000
27800,0.740000,0.406000,0.276000,0.004000
27900,0.765000,0.408000,0.286000,0.005000
28000,0.759000,0.415000,0.277000,0.004000
28100,0.748000,0.414000,0.277000,0.004000
28200,0.758000,0.413000,0.289000,0.004000
28300,0.759000,0.432000,0.302000,0.004000
28400,0.804000,0.416000,0.296000,0.004000
28500,0.775000,0.424000,0.288000,0.004000
28600,0.785000,0.419000,0.298000,0.003000
28700,0.785000,0.433000,0.299000,0.004000
28800,0.832000,0.437000,0.297000,0.004000
28900,0.779000,0.442000,0.304000,0.005000
29000,0.789000,0.436000,0.301000,0.004000
29100,0.811000,0.434000,0.299000,0.004000
29200,0.807000,0.437000,0.301000,0.003000
29300,0.807000,0.431000,0.301000,0.004000
29400,0.815000,0
